text,label
top notch,positive
terrible,negative
normal experience,neutral
ፈጣን ነው,positive
አይረባም,negative
መካከለኛ,neutral
best product ever,positive
expensive and bad,negative
not bad,neutral
ጥሩ ተሞክሮ,positive
አሳዛኝ ነው,negative
አይደለም,neutral
wonderful,positive
awful,negative
it is just a phone,neutral
እጅግ በጣም ደስ የሚል,positive
ጥራት የለውም,negative
አስተያየት የለኝም,neutral
really happy,positive
awful,negative
as expected,neutral
ደስተኛ ነኝ,positive
አይሰራም,negative
ምንም አይልም,neutral
fast delivery,positive
worst experience,negative
normal experience,neutral
እጅግ በጣም ደስ የሚል,positive
አሳዛኝ ነው,negative
አስተያየት የለኝም,neutral
fast delivery,positive
poor service,negative
not bad,neutral
ዋው ምርጥ ነው,positive
ተታለልኩ,negative
መካከለኛ,neutral
highly recommended,positive
broken item,negative
it works,neutral
ደስ ይላል,positive
አይረባም,negative
አይከፋም,neutral
highly recommended,positive
slow delivery,negative
i have no opinion,neutral
ጥሩ አገልግሎት,positive
አሳዛኝ ነው,negative
ደረሰኝ,neutral
highly recommended,positive
awful,negative
it is what it is,neutral
ተመራጭ ነው,positive
አልተመቸኝም,negative
መካከለኛ,neutral
really happy,positive
slow delivery,negative
standard,neutral
ደስተኛ ነኝ,positive
አይሰራም,negative
ጥሩም መጥፎም አይደለም,neutral
fast delivery,positive
horrible quality,negative
as expected,neutral
ገንዘቡ ይገባዋል,positive
ተታለልኩ,negative
ደረሰኝ,neutral
excellent,positive
expensive and bad,negative
it is okay,neutral
ደስተኛ ነኝ,positive
አሳዛኝ ነው,negative
ምንም አይልም,neutral
highly recommended,positive
broken item,negative
maybe,neutral
ጥሩ ተሞክሮ,positive
አልተመቸኝም,negative
ሊሆን ይችላል,neutral
i love this,positive
terrible,negative
common,neutral
ተመችቶኛል,positive
ጥራት የለውም,negative
ሊሆን ይችላል,neutral
i love this,positive
regret buying,negative
i have no opinion,neutral
ድንቅ ስራ,positive
ጥራት የለውም,negative
ደህና ነው,neutral
amazing service,positive
disappointing,negative
not bad,neutral
ደስ ይላል,positive
አሳዛኝ ነው,negative
ተቀብያለሁ,neutral
great experience,positive
disappointing,negative
i have no opinion,neutral
እግዚአብሔር ይመስገን ጥሩ ነው,positive
ተታለልኩ,negative
ኖርማል ነው,neutral
superb quality,positive
very bad,negative
i am using it,neutral
ቆንጆ ነው,positive
ገንዘብ ማባከን,negative
ሊሆን ይችላል,neutral
i love this,positive
regret buying,negative
i am using it,neutral
ጥሩ አገልግሎት,positive
ገንዘብ ማባከን,negative
ተቀብያለሁ,neutral
fantastic,positive
horrible quality,negative
as expected,neutral
ቆንጆ ነው,positive
ከንቱ ነው,negative
ቢሆንም,neutral
i love this,positive
horrible quality,negative
i have no opinion,neutral
ድንቅ ስራ,positive
አይረባም,negative
ምንም አይልም,neutral
wonderful,positive
disappointing,negative
it is what it is,neutral
ተመራጭ ነው,positive
አሳዛኝ ነው,negative
ሊሆን ይችላል,neutral
i love this,positive
dont buy it,negative
it works,neutral
ጥራት አለው,positive
ጥራት የለውም,negative
መደበኛ ነው,neutral
fast delivery,positive
poor service,negative
it works,neutral
ተመችቶኛል,positive
መጥፎ ነው,negative
ምንም አይልም,neutral
highly recommended,positive
horrible quality,negative
it is what it is,neutral
ደስተኛ ነኝ,positive
ተታለልኩ,negative
ሊሆን ይችላል,neutral
i love this,positive
expensive and bad,negative
it is what it is,neutral
በጣም ጥሩ ነው,positive
አልተመቸኝም,negative
አይደለም,neutral
fantastic,positive
broken item,negative
fine,neutral
እግዚአብሔር ይመስገን ጥሩ ነው,positive
በጣም መጥፎ,negative
ሊሆን ይችላል,neutral
top notch,positive
awful,negative
maybe,neutral
ጥሩ ተሞክሮ,positive
አልወደድኩትም,negative
ቢሆንም,neutral
best product ever,positive
poor service,negative
it works,neutral
ደስተኛ ነኝ,positive
በጣም መጥፎ,negative
መደበኛ ነው,neutral
superb quality,positive
awful,negative
it is what it is,neutral
ደስ ይላል,positive
አልመክርም,negative
ኖርማል ነው,neutral
fantastic,positive
broken item,negative
common,neutral
ጥሩ አገልግሎት,positive
አልተመቸኝም,negative
አይደለም,neutral
really happy,positive
i hate this,negative
fine,neutral
በጣም ጥሩ ነው,positive
ተታለልኩ,negative
አይደለም,neutral
fantastic,positive
expensive and bad,negative
average,neutral
እጅግ በጣም ደስ የሚል,positive
ከንቱ ነው,negative
አይከፋም,neutral
great experience,positive
terrible,negative
delivered,neutral
ዋው ምርጥ ነው,positive
አይሰራም,negative
ተቀብያለሁ,neutral
i love this,positive
worst experience,negative
common,neutral
ድንቅ ስራ,positive
አሳዛኝ ነው,negative
አይከፋም,neutral
i love this,positive
slow delivery,negative
normal experience,neutral
ጥሩ አገልግሎት,positive
አልወደድኩትም,negative
ኖርማል ነው,neutral
best product ever,positive
waste of money,negative
i have no opinion,neutral
እግዚአብሔር ይመስገን ጥሩ ነው,positive
ጥራት የለውም,negative
ኖርማል ነው,neutral
great experience,positive
regret buying,negative
it works,neutral
ጥሩ አገልግሎት,positive
አልተመቸኝም,negative
ሊሆን ይችላል,neutral
fantastic,positive
waste of money,negative
common,neutral
ጥሩ አገልግሎት,positive
አልተመቸኝም,negative
ዝም ብሎ እቃ ነው,neutral
superb quality,positive
expensive and bad,negative
delivered,neutral
ዋው ምርጥ ነው,positive
ተታለልኩ,negative
መደበኛ ነው,neutral
excellent,positive
horrible quality,negative
maybe,neutral
ጥራት አለው,positive
መጥፎ ነው,negative
እየተጠቀምኩ ነው,neutral
best product ever,positive
awful,negative
not bad,neutral
ተመችቶኛል,positive
አይሰራም,negative
አይከፋም,neutral
best product ever,positive
disappointing,negative
not bad,neutral
በጣም ጥሩ ነው,positive
አይሰራም,negative
አይከፋም,neutral
im impressed,positive
i hate this,negative
normal experience,neutral
ተመችቶኛል,positive
አይሰራም,negative
ኖርማል ነው,neutral
perfect,positive
i hate this,negative
common,neutral
ዋው ምርጥ ነው,positive
ጥራት የለውም,negative
መካከለኛ,neutral
amazing service,positive
awful,negative
standard,neutral
ፈጣን ነው,positive
ገንዘብ ማባከን,negative
ዝም ብሎ እቃ ነው,neutral
wonderful,positive
dont buy it,negative
maybe,neutral
በጣም ጥሩ ነው,positive
አልተመቸኝም,negative
ምንም አይልም,neutral
excellent,positive
broken item,negative
average,neutral
ደስተኛ ነኝ,positive
አይሰራም,negative
እየተጠቀምኩ ነው,neutral
i love this,positive
terrible,negative
as expected,neutral
ደስተኛ ነኝ,positive
አልመክርም,negative
ኖርማል ነው,neutral
wonderful,positive
worst experience,negative
it is just a phone,neutral
ገንዘቡ ይገባዋል,positive
አይሰራም,negative
ጥሩም መጥፎም አይደለም,neutral
i love this,positive
poor service,negative
normal experience,neutral
ድንቅ ስራ,positive
አልተመቸኝም,negative
አይደለም,neutral
fantastic,positive
expensive and bad,negative
i have no opinion,neutral
እጅግ በጣም ደስ የሚል,positive
አይሰራም,negative
ምንም አይልም,neutral
wonderful,positive
broken item,negative
normal experience,neutral
ገንዘቡ ይገባዋል,positive
አልመክርም,negative
ተቀብያለሁ,neutral
wonderful,positive
regret buying,negative
not bad,neutral
ጥራት አለው,positive
አሳዛኝ ነው,negative
መደበኛ ነው,neutral
best product ever,positive
slow delivery,negative
delivered,neutral
ተመራጭ ነው,positive
አልወደድኩትም,negative
አይደለም,neutral
highly recommended,positive
poor service,negative
i have no opinion,neutral
ተመራጭ ነው,positive
ጥራት የለውም,negative
ደረሰኝ,neutral
best product ever,positive
regret buying,negative
it is just a phone,neutral
ጥሩ አገልግሎት,positive
ከንቱ ነው,negative
ጥሩም መጥፎም አይደለም,neutral
best product ever,positive
very bad,negative
i have no opinion,neutral
ፈጣን ነው,positive
መጥፎ ነው,negative
አይከፋም,neutral
really happy,positive
very bad,negative
i have no opinion,neutral
ጥሩ ተሞክሮ,positive
አልተመቸኝም,negative
ኖርማል ነው,neutral
superb quality,positive
dont buy it,negative
it is okay,neutral
ድንቅ ስራ,positive
ጥራት የለውም,negative
አስተያየት የለኝም,neutral
excellent,positive
poor service,negative
i am using it,neutral
ጥሩ አገልግሎት,positive
አይሰራም,negative
ሊሆን ይችላል,neutral
excellent,positive
horrible quality,negative
it is okay,neutral
ገንዘቡ ይገባዋል,positive
አሳዛኝ ነው,negative
አይከፋም,neutral
perfect,positive
expensive and bad,negative
it is just a phone,neutral
በጣም ጥሩ ነው,positive
ከንቱ ነው,negative
ዝም ብሎ እቃ ነው,neutral
top notch,positive
broken item,negative
standard,neutral
ቆንጆ ነው,positive
አሳዛኝ ነው,negative
እየተጠቀምኩ ነው,neutral
superb quality,positive
i hate this,negative
average,neutral
ዋው ምርጥ ነው,positive
አልተመቸኝም,negative
እየተጠቀምኩ ነው,neutral
really happy,positive
awful,negative
not bad,neutral
ድንቅ ስራ,positive
አይረባም,negative
እየተጠቀምኩ ነው,neutral
i love this,positive
awful,negative
not bad,neutral
ደስተኛ ነኝ,positive
አልወደድኩትም,negative
ደህና ነው,neutral
i love this,positive
disappointing,negative
it is just a phone,neutral
እጅግ በጣም ደስ የሚል,positive
አልተመቸኝም,negative
አይከፋም,neutral
amazing service,positive
disappointing,negative
it is just a phone,neutral
ገንዘቡ ይገባዋል,positive
መጥፎ ነው,negative
ተቀብያለሁ,neutral
superb quality,positive
not recommended,negative
fine,neutral
ጥራት አለው,positive
መጥፎ ነው,negative
ደረሰኝ,neutral
best product ever,positive
awful,negative
common,neutral
ጥሩ አገልግሎት,positive
በጣም መጥፎ,negative
ደረሰኝ,neutral
highly recommended,positive
waste of money,negative
i am using it,neutral
ተመችቶኛል,positive
አይረባም,negative
